day,group,ctr
1,control,47.31
1,treatment,54.19
2,control,48.76
2,treatment,53.39
3,control,51.72
3,treatment,55.56
4,control,52.54
4,treatment,56.48
5,control,48.72
5,treatment,51.25
6,control,53.61
6,treatment,53.66
7,control,49.78
7,treatment,55.58
8,control,46.76
8,treatment,54.97
9,control,45.74
9,treatment,53.06
10,control,52.2
10,treatment,52.92
11,control,47.24
11,treatment,53.85
12,control,48.0
12,treatment,59.22
13,control,47.05
13,treatment,59.22
14,control,45.33
14,treatment,53.22
15,control,44.56
15,treatment,53.75
16,control,49.27
16,treatment,57.0
17,control,48.19
17,treatment,55.21
18,control,48.94
18,treatment,59.16
19,control,50.31
19,treatment,52.6
20,control,43.9
20,treatment,57.57
21,control,47.22
21,treatment,50.94
