user_id,group,day,clicked,dwell_time_sec,bounced,click_position
1,control,8,0,0.0,1,
1,control,6,0,0.0,1,
1,control,5,1,130.3,0,1.0
2,treatment,21,1,201.6,0,1.0
2,treatment,17,1,220.9,0,4.0
2,treatment,3,1,210.1,0,2.0
3,control,12,0,0.0,0,
3,control,10,1,128.0,0,2.0
4,control,13,1,107.7,1,4.0
4,control,18,1,154.6,0,1.0
5,control,11,1,157.4,0,2.0
5,control,8,0,0.0,0,
5,control,4,0,0.0,1,
6,treatment,10,1,134.4,0,2.0
7,control,7,1,265.9,0,1.0
7,control,6,1,125.3,1,1.0
8,control,17,1,198.7,0,1.0
8,control,8,0,0.0,0,
9,control,7,0,0.0,0,
10,treatment,20,0,0.0,0,
11,control,10,0,0.0,1,
11,control,10,1,220.7,0,2.0
11,control,2,1,137.2,1,1.0
12,control,14,0,0.0,0,
12,control,12,0,0.0,0,
13,control,11,1,192.4,0,2.0
14,control,19,1,314.9,0,1.0
14,control,16,0,0.0,1,
15,treatment,8,1,105.8,0,1.0
16,control,8,1,160.5,0,1.0
16,control,11,1,217.9,1,1.0
16,control,7,1,156.2,0,1.0
17,treatment,9,1,199.7,1,2.0
17,treatment,21,1,230.4,1,1.0
18,treatment,8,1,234.6,0,1.0
18,treatment,4,1,92.1,0,1.0
18,treatment,21,1,156.7,0,3.0
19,treatment,21,1,161.7,0,1.0
19,treatment,16,1,26.6,0,2.0
19,treatment,3,1,188.5,1,3.0
20,control,13,1,183.5,0,1.0
20,control,9,1,139.6,1,1.0
21,treatment,15,0,0.0,0,
22,control,19,0,0.0,1,
22,control,18,0,0.0,0,
22,control,12,0,0.0,0,
23,treatment,21,1,248.8,0,2.0
24,treatment,18,0,0.0,0,
25,treatment,2,1,133.4,0,1.0
26,treatment,3,0,0.0,0,
26,treatment,17,1,218.2,0,4.0
26,treatment,8,0,0.0,0,
27,treatment,15,0,0.0,0,
27,treatment,2,0,0.0,0,
27,treatment,16,1,82.6,0,1.0
28,treatment,12,1,227.7,1,5.0
28,treatment,17,1,244.8,0,2.0
29,treatment,21,1,147.3,0,1.0
29,treatment,5,0,0.0,0,
29,treatment,18,1,235.9,0,2.0
30,treatment,13,1,248.5,0,1.0
30,treatment,9,1,153.5,1,1.0
30,treatment,6,1,191.8,0,5.0
31,control,21,1,262.2,0,1.0
31,control,20,1,125.0,1,1.0
32,control,1,1,146.2,1,5.0
32,control,12,0,0.0,1,
33,treatment,7,1,220.6,1,1.0
34,treatment,5,1,191.0,0,1.0
34,treatment,19,1,132.4,0,1.0
35,treatment,13,1,189.0,0,1.0
35,treatment,21,1,133.6,0,1.0
36,control,17,1,242.3,1,3.0
37,treatment,10,0,0.0,0,
37,treatment,17,1,295.7,0,1.0
38,control,21,1,171.0,0,4.0
38,control,8,0,0.0,1,
39,control,12,1,145.4,0,1.0
40,control,19,1,141.1,0,3.0
40,control,3,0,0.0,1,
41,control,15,0,0.0,0,
42,control,19,0,0.0,1,
42,control,21,0,0.0,0,
42,control,15,0,0.0,0,
43,treatment,18,0,0.0,0,
43,treatment,18,0,0.0,1,
43,treatment,18,0,0.0,0,
44,treatment,2,1,174.5,0,3.0
44,treatment,14,1,126.7,0,2.0
45,treatment,4,0,0.0,0,
45,treatment,12,1,147.4,0,1.0
46,treatment,4,0,0.0,0,
46,treatment,7,1,134.3,0,1.0
46,treatment,18,1,185.1,1,1.0
47,treatment,17,1,275.7,0,2.0
47,treatment,7,0,0.0,0,
48,control,13,1,180.5,0,4.0
48,control,18,0,0.0,1,
49,treatment,10,1,154.2,0,1.0
49,treatment,17,0,0.0,0,
50,treatment,7,0,0.0,0,
50,treatment,19,1,121.6,0,1.0
51,control,3,1,192.2,0,1.0
51,control,3,0,0.0,0,
51,control,8,0,0.0,1,
52,treatment,6,0,0.0,0,
53,control,17,1,148.8,0,3.0
53,control,15,0,0.0,1,
53,control,12,1,143.6,1,5.0
54,treatment,21,0,0.0,0,
55,control,1,0,0.0,0,
55,control,13,0,0.0,0,
56,treatment,11,0,0.0,0,
56,treatment,10,0,0.0,0,
57,treatment,11,1,204.3,0,2.0
57,treatment,2,1,168.5,0,1.0
57,treatment,17,1,149.8,0,1.0
58,control,20,0,0.0,0,
